name,from,href,lyrics
Aa Jao Na,"[from ""Veere Di Wedding"" soundtrack]",/lyrics/bollywood/aajaona.html,"

Tum thhe yahin
Phir bhi tum gum thhe
Aur main laapata
Ab jo mile ho toh phir
Saath hi mein reh jaao na [x2]

Thode thode se poore
Aur thode adhoore
Ye waade rahe kya pataa
Poore honge kayi khwab
Reh jaayenge kuch adhoore
Abhi kya pataa?

Aa jao na…
Aa jao na…
Aa jao itna bhi kya sochna
Aa jaao na
Aa jaao na
Aa jaao itna bhi kya sochna

Thoda sahi ik doosre mein
Aa reh le kahin
Aa jee bhi le
Kab? kyun? kahaan? kaise?
Soche nahin…

Aa chal waadon ke bhatke huve
Jugnuon ko dikha dein sahi raasta
Aa chal sotey sitaaron ko haule se
Sehla ke roshan karein aasmaan

Aa jao na…
Aa jao na…
Aa jao itna bhi kya sochna
Aa jaao na
Aa jaao na
Aa jaao itna bhi kya sochna…

Hahmmm…

Shaamein keyi hongi thehri hui
Baatein keyi hongi roothi hui
Chhoti si zidd hogi
Lambi si raatein
Phir bhi pyaar reh jaayega
Rehta hamesha toh kuch bhi nahin
Phir bhi naa jaane kyun mujhko yaqeen
Sab beetne par bhi
Sab chhutne par bhi
Yeh pyaar reh jaayega

Tum thhe yahin
Phir bhi tum gum thhe
Aur main laapata
Ab jo mile ho toh phir
Saath hi mein reh jaao na [x2]

Thode thode se poore
Aur thode adhoore
Ye waade rahe kya pataa
Poore honge kayi khwaab
Reh jaayenge kuch adhoore
Abhi kya pataa?

Aa jao na…
Aa jao na…
Aa jao itna bhi kya sochna
Aa jaao na
Aa jaao na
Aa jaao itna bhi kya sochna

Aa jaao na…
Aa jaao na…
Aa jaao itna bhi kya sochna
"
Aaj Phir,"[from ""Hate Story 2"" soundtrack]",/lyrics/arijitsingh/aajphir.html,"

Aaj phir tumpe pyar aaya hai
Aaj phir tumpe pyar aaya hai
Behad aur beshumar aaya hai [x2]

Toote toh toote teri baahon mein aise
Jaise shaakhon se patte be-haya
Bikhre tujhi se aur simte tujhi mein
Tu hi mera sab le gaya
Na fiqar, na sharam, na lihaaj, ek baar aaya

Phir zarre zarre mein deedar aaya hai
Phir zarre zarre mein deedar aaya hai

Aaj phir tum pe pyar aaya hai
Aaj phir tum pe pyar aaya hai
Behad aur beshumaar aaya hai

Aaj phir tum pe pyar aaya hai
Aaj phir tum pe pyar aaya hai
Behad aur beshumaar aaya hai

Tu hi meri awaaragi
Tu hi duaa har shaam ki
Tu khamakha, tu laazmi
Tu hi razaa, tu hi kami
Aur tu hi wo, firaaq hai jisko
Hai silsilon ne mere pass laaya

Hothon pe tere izhaar aaya hai
Hothon pe tere izhaar aaya hai
Behad aur beshumar aaya hai

Aaj phir tum pe pyar aaya hai
Aaj phir tum pe pyar aaya hai
Behad aur beshumaar aaya hai

Aaj phir tum pe pyar aaya hai
Aaj phir tum pe pyar aaya hai
Behad aur beshumaar aaya hai
"
Aaj Se Teri,"[from ""Padman"" soundtrack]",/lyrics/arijitsingh/aajseteri.html,"

Aaj se teri saari galiyan meri ho gayi
Aaj se mera ghar tera ho gaya

Aaj se teri saari galiyan meri ho gayi
Aaj se mera ghar tera ho gaya

Aaj se meri saari khushiyan teri ho gayi
Aaj se tera gham mera ho gaya

O tere kaandhe ka jo til hai
O tere seene mein jo dil hai
O teri bijli ka jo bill hai
Aaj se mera ho gaya

O mere khwabon ka ambar
O meri khushiyon ka samandar
O mere pin code ka number
Aaj se tera ho gaya

Tere maathe…
Tere maathe ke kumkum ko
Main tilak laga ke ghoomuga
Teri baali ki chhun chhun ko
Main dil se laga ke jhoomunga

Meri choti si bhulon
Ko tu nadiya mein baha dena
Tere joode ke phoolon ko
Main apni shirt mein pehnunga

Bas mere liye tu maalpuve
Kabhi kabhi bana dena

Aaj se meri saari ratiyan teri ho gayi
Aaj se tera din mera ho gaya

O tere kaandhe ka jo til hai
O tere seene mein jo dil hai
O teri bijli ka jo bill hai
Aaj se mera ho gaya

O mere khwabon ka ambar
O meri khushiyon ka samandar
O mere pin code ka number
Aaj se tera ho gaya…

Tu maange sardi mein amiya
Jo maange garmi mein mungfaliya
Tu barish mein agar kehde
Ja mere liye tu dhoop khila
Toh main sooraj…
Toh main sooraj ko jhatak dunga
Toh main saawan ko gatak lunga
To saare taaron sang chanda
Main teri god mein rakh dunga

Bas mere liye tu kabhi
Khill ke muskura dena

Aaj se meri saari sadiyan teri ho gayi
Aaj se tera pal mera ho gaya

O tere kaandhe ka jo til hai
O tere seene mein jo dil hai
O teri bijli ka jo bill hai
Aaj se mera ho gaya

O mere khwabon ka ambar
O meri khushiyon ka samandar
O mere pin code ka number
Aaj se… tera ho gaya…
"
Aasan Nahin Yahan,"[from ""Aashiqui 2"" soundtrack]",/lyrics/arijitsingh/aasannahinyahan.html,"

Wo o o o...

Aasaan nahi yahaan aashiq ho jaana
Palkon pe kaanton ko sajaana
Aashiq ko milti hai gham ki saugaatein
Sabko naa milta yeh khajaana

Wo o o o...

Baaton se aage, waadon se aage
Dekho zara tum kabhi ho o..
Yeh to hai shola, yeh hai chingari
Yeh hai jawaag bhi

Wo o o o...

Jismon ke peechhe bhaage ho phirte
Utro kabhi rooh mein ho..
Hota kya aashiq, kya aashiqhi hai
Hogi khabar tab tumhein

Wo o o o...
"
Ab Raat,"[from ""Dobaara"" soundtrack]",/lyrics/arijitsingh/abraat.html,"

Chaand ki aankhein bhaari si hain
Raat andheri haari si hai [x2]

Maan bhi ja, thehar zara
Savera koi Door hai kya

Bas, ab raat guzarne waali hai
Ab raat guzarne waali hai
Ab Raat guzarne waali hai
Bas, raat guzarne waali hai

Dard-dard andhera, Zakhm si chaandni
Dhul jaayegi dhoop mein
Sard haathon ka ghera, shehar ki berukhi
Kho jaayegi, goonj mein
Parindon ki azaane, gungunaati raah bhi
Kehti hai aankhein choom ke

Bas, ab raat guzarne waali hai
Ab raat guzarne waali hai
Ab raat guzarne waali hai
Bas, raat guzarne waali hai

Meri suno toh aankhein moondo
Khud mein hi dhoondho nayaa ik nazariyaa
Khauf mein tumne chhupa rakkha hai
Apne bheetar noor ka dariya
Behne do usey woh dho dega
Deewar jo mann ki kaali hai

Ab raat guzarne waali hai
Ab raat guzarne waali hai
Ab raat guzarne waali hai
Bas raat guzarne waali hai
"
Ae Dil Hai Mushkil,"[from ""Ae Dil Hai Mushkil"" soundtrack]",/lyrics/arijitsingh/aedilhaimushkil.html,"

Tu safar mera
Hai tu hi meri manzil
Tere bina guzara
Ae dil hai mushkil

Tu mera khuda
Tu hi duaa mein shaamil
Tere bina guzara
Ae dil hai mushkil

Mujhe aazmaati hai teri kami
Meri har kami ko hai tu laazmi
Junoon hai mera
Banoon main tere qaabil
Tere bina guzaara
Ae Dil Hai Mushkil

Yeh rooh bhi meri
Yeh jism bhi mera
Utna mera nahi
Jitna hua tera

Tune diya hai jo
Woh dard hi sahi
Tujhse mila hai toh
Inaam hai mera

Mera aasmaan dhoondhe teri zameen
Meri har kami ko hai tu laazmi

Zameen pe na sahi
Toh aasmaan mein aa mil
Tere bina guzara
Ae dil hai mushkil

Maana ki teri maujoodgi se
Ye zindagani mehroom hai
Jeene ka koi dooja tareeka
Na mere dil ko maaloom hai

Tujhko main kitni
Shiddat se chaahun
Chaahe toh rehna tu be-khabar
Mohtaaj manzil ka toh nahi hai
Ye ek tarfa mera safar, safar
Khoobsurat hai manzil se bhi
Meri har kami ko hai tu laazmi

Adhura hoke bhi
Hai ishq mera kaamil
Tere bina guzara
Ae dil hai mushkil
"
Ae Watan,"[from ""Raazi"" soundtrack]",/lyrics/bollywood/aewatan.html,"

Ae watan…
Mere watan…

Ae watan.. aabaad rahe tu
Aabaad rahe tu… (aabaad rahe tu)

Ae watan, watan mere, aabaad rahe tu
Ae watan, watan mere, aabaad rahe tu
(Ae watan, watan mere, aabaad rahe tu)

Main jahan rahun, jahaan me yaad rahe tu
(Main jahan rahun, jahaan me yaad rahe tu)

Ae watan… mere watan!
(Ae watan… mere watan!)

Tu hi meri manzil, pehchan tujhi se
(Tu hi meri manzil, pehchan tujhi se)

Pahunchu main jahaan bhi
Meri buniyad rahe tu
(Pahunchu main jahaan bhi
Meri buniyad rahe tu)

Ae watan, watan mere, aabaad rahe tu
Main jahan rahun, jahaan me yaad rahe tu
Ae watan… mere watan!
(Ae watan… mere watan!)

Tujhpe koi gham ki aanch aane nahin doon
(Tujhpe koi gham ki aanch aane nahin doon)

Kurbaan meri jaan tujhpe, shaad rahe tu
(Kurbaan meri jaan tujhpe, shaad rahe tu)

Ae watan, watan mere, aabaad rahe tu
Main jahan rahun, jahaan me yaad rahe tu
Aye watan… (aye watan…)
Mere watan… (mere watan…)
Aabaad rahe tu…
Aabaad rahe tu…

Ae watan… mere watan
Aabaad rahe tu!
"
Alizeh,"[from ""Ae Dil Hai Mushkil"" soundtrack]",/lyrics/arijitsingh/alizeh.html,"

Pyaar maine jo nibhaya
Tere rehte, tere saath bhi
Sach kahun toh, uss se zyada
Chaha tujhko, tere baad bhi

Mmm… main dard hoon
Tu dava hai na
Main aag hoon
Tu hawa hai na

Ali, Ali, Ali, Alizeh
Ali, Ali, Ali, Alizeh
Kahaan hai tu
Mere dil mein hai na
Ali, Ali, Ali, Alizeh
Ali, Ali, Ali, Alizeh
Tera hoon main
Tujhe yaad hai na [x2]

Sooraj dhale toh lagta hai jaise
Kaandhe pe mere sar hai tera
Mera thikana chahe jahaan ho
Yaadon mein meri ghar hai tera

Sooraj dhale toh lagta hai jaise
Kaandhe pe mere sar hai tera
Mera thikana chahe jahaan ho
Yaadon mein meri ghar hai tera

Main hoon jahaan
Tu wahaan hai na
Main aag hoon
Tu hawa hai na

Ali, Ali, Ali, Alizeh
Ali, Ali, Ali, Alizeh
Kahan hai tu
Mere dil mein hai na
Ali, Ali, Ali, Alizeh
Ali, Ali, Ali, Alizeh
Tera hoon main
Tujhe yaad hai na [x2]

In the darkness
You help me find a spark
The sweetest soul with the kindest heart
If only you could see you the way I do
You'd see the sunshine and it's beautiful

Yeah! and all you have to do is smile
I give anything to be there just to see it now
To lay with you in the warmth of the summers night
And watch the moon and stars come to life
Can't begin to explain just what you did for me
Yeah there was something in your energy
Close my eyes and I still feel you in every breeze
That's how I know you're still with me

I've died a thousand times for you
Walked a million miles for you
I'd live and still be dead, you see
If you'd be living without me
"
Alvida,"[from ""Rangoon"" soundtrack]",/lyrics/arijitsingh/alvida.html,"

Alvida, alvida to nahi
Alvida, alvida to nahi
Jism se jaan juda to nahi

Alvida, alvida toh nahi
Jism se jaan juda toh nahi

Rooh mein beh raha hai tu
Rooh mein beh raha hai tu
Aye, kahin tu Khuda toh nahin
Alvida, alvida toh nahin..

Koi roshni si hai ya koi khushboo hai
Mere tan-badan mein hai kaun main ya tu hai

Jaaniya ve…
Ek chhota sa mera zindagi se gila hai
Aisa mukhtasar kyun dil ka silsila hai

Sach bata sab khala toh nahi
Jism se jaan juda toh nahi

Jaaniya ve…

Jaaniya ve jaaniya ve
Jaaniya ve jaaniyaa…
Jaaniya ve jaaniyaa…

Chal ek baar,
Chal ek baar uss paar chal ke dekhein
Woh jo door door hai noor mal ke dekhein

Janiya ve…
Chal barf ke jab uss taraf niklenge
Sab chhod chhaad taaron ki aad mil lenge

Yoon kabhi koi jiya toh nahi
Jism se jaan juda toh nahi

Rooh mein beh raha hai tu
Rooh mein beh raha hai tu
Aye, kahin tu Khuda toh nahin…
"
Baatein Ye Kabhi Na,"[from ""Khamoshiyan"" soundtrack]",/lyrics/arijitsingh/baateinyekabhina.html,"

Baatein ye kabhi na
Tu bhoolna
Koi tere khatir
Hai jee raha
Jaaye tu kahin bhi
Yeh sochna
Koi tere khatir
Hai jee raha
Tu jahaan jaaye
Mehfooz ho
Tu jahaan jaaye
Mehfooz ho
Dil mera maange
Bas ye dua

Baatein ye kabhi na
Tu bhoolna
Koi tere khatir
Hai jee raha
Jaaye tu kahin bhi
Yeh sochna
Koi tere khatir
Hai jee raha

Humdard hai
Humdum bhi hai
Tu saath hai toh.. zindagi
Tu jo kabhi door rahe
Ye humse ho jaaye ajnabi
Tujhse mohabbat karte hain jo
Tujhse mohabbat karte hain jo
Kaise kare hum usko bayaan

Baatein ye kabhi na
Tu bhoolna
Koi tere khatir
Hai jee raha
Jaaye tu kahin bhi
Yeh sochna
Koi tere khatir
Hai jee raha

Jaagi bhi hai
Royi bhi hai
Aankhein ye raaton mein mere
Kyun har ghadi
Milke tujhe
Lagti rahe bas teri kami
Hum toh na samjhe
Tum hi kaho
Hum toh na samjhe
Tum hi kaho
Kyun tumko paake tumse juda

Baatein ye kabhi na
Tu bhoolna
Koi tere khatir
Hai jee raha
Jaaye tu kahin bhi
Yeh sochna
Koi tere khatir
Hai jee raha
"
